word	file	lines
anonymized	09_how_to_work.Rmd	96,106,116
autocomplete	07_nav_R.Rmd	42
Benchling	09_how_to_work.Rmd	72,72
bolded	05_markdown.Rmd	58,200
Bolded	05_markdown.Rmd	56
bolding	05_markdown.Rmd	27
Broman	00_motivation.Rmd	82
Broman's	00_motivation.Rmd	116
Byran	00_motivation.Rmd	80
cd	06_nav_terminal.Rmd	84,89,94
cp	06_nav_terminal.Rmd	219
csv	04_rstudiomd.Rmd	99
csv	08_paths_in_code.Rmd	50
Ctrl	04_rstudiomd.Rmd	84
getwd	07_nav_R.Rmd	38
http	03_file_naming.Rmd	11
https	01_rstudio_projects.Rmd	19
https	02_organizing_projects.Rmd	15
Kirill	08_paths_in_code.Rmd	135
md	02_organizing_projects.Rmd	93,93,96,99
md	04_rstudiomd.Rmd	33,99
metacode	02_organizing_projects.Rmd	217
Müller	08_paths_in_code.Rmd	135
mv	06_nav_terminal.Rmd	220
myfirstproject	01_rstudio_projects.Rmd	114
nav	06_nav_terminal.Rmd	231
nav	07_nav_R.Rmd	98
png	00_motivation.Rmd	30,39,46,51,56,62,69,79
png	01_rstudio_projects.Rmd	22,28,33,38,43,48,53,58,63,69,75,82
png	02_organizing_projects.Rmd	17,23,30,37,43,50,55,70,75,81,88,91,98,121,127,133,139,154,177
png	04_rstudiomd.Rmd	19,24,30,35,40,45,50,61,66,71,76,81
png	05_markdown.Rmd	24,29,51,184,260
png	06_nav_terminal.Rmd	16,21,34,41,46,51,64,71,76,83,88,93,100,105,114,125,138,143,148,161,166,177,190,195,204,209,237
png	07_nav_R.Rmd	21,28,37,44,51,58,65,72,79,86,139
png	08_paths_in_code.Rmd	21,28,36,49,58,63,96,102,124,150
programmatically	07_nav_R.Rmd	15
pwd	06_nav_terminal.Rmd	65
README	02_organizing_projects.Rmd	66,68,93,93,96,99,102,114
README	09_how_to_work.Rmd	27,29,31,33,66,123
rmarkdown	03_file_naming.Rmd	11
Rmarkdown	04_rstudiomd.Rmd	99
Rmd	04_rstudiomd.Rmd	74,99
Rproj	08_paths_in_code.Rmd	94,99,105
rstudio	01_rstudio_projects.Rmd	19,97
rstudio	02_organizing_projects.Rmd	15
rstudio	03_file_naming.Rmd	11
Rstudio	02_organizing_projects.Rmd	68
RStudio	01_rstudio_projects.Rmd	10,12,12,14,17,23,29,91,99,101
RStudio	02_organizing_projects.Rmd	15,18,31
RStudio	04_rstudiomd.Rmd	9,11,17,53,55,59,74,88,94
RStudio	06_nav_terminal.Rmd	10,14,17,28,32,37,98,103,266
RStudio	07_nav_R.Rmd	11,17,19,22,35,42
rstudiomd	04_rstudiomd.Rmd	92
setwd	07_nav_R.Rmd	45
subfolder	02_organizing_projects.Rmd	114
subfolder	06_nav_terminal.Rmd	39,69
subfolders	08_paths_in_code.Rmd	43
xlsx	04_rstudiomd.Rmd	99
