url	chapt_title	img_path
https://datatrail-jhu.github.io/03_fileorganization/no_toc/index.html	About this Course	resources/chapt_screen_images/index.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/motivation.html	1 Motivation	resources/chapt_screen_images/motivation.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/rstudio-and-projects.html	2 RStudio and Projects	resources/chapt_screen_images/rstudio-and-projects.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/setting-up-data-science-project-folders.html	3 Setting Up Data Science Project Folders	resources/chapt_screen_images/setting-up-data-science-project-folders.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/creating-and-previewing-markdown-files-in-rstudio.html	4 Creating and Previewing Markdown Files in RStudio	resources/chapt_screen_images/creating-and-previewing-markdown-files-in-rstudio.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/introduction-to-markdown.html	5 Introduction to Markdown	resources/chapt_screen_images/introduction-to-markdown.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/managing-files-in-the-terminal.html	6 Managing Files in the Terminal	resources/chapt_screen_images/managing-files-in-the-terminal.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/managing-files-in-r.html	7 Managing Files in R	resources/chapt_screen_images/managing-files-in-r.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/using-paths-in-code.html	8 Using Paths in Code	resources/chapt_screen_images/using-paths-in-code.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/how-to-work.html	9 How to Work	resources/chapt_screen_images/how-to-work.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
https://datatrail-jhu.github.io/03_fileorganization/no_toc/references.html	10 References	resources/chapt_screen_images/references.png
